dtype,enzyme,model,scaler,split,tp,fp,tn,fn,val_accuracy,val_precision,val_recall,val_f1,auc,mcc,val_loss,train_time,prediction_time,criterion,n_estimators
PC,IN,rfc,std,4,999,36,1249,64,0.9574105621805792,0.9652173913043478,0.9397930385700847,0.9523355576739753,0.9558887371838751,0.9141227486424517,1.5350789348005605,7.160922527313232,0.3141608238220215,gini,1500
PC,IN,rfc,std,4,999,37,1248,64,0.956984667802385,0.9642857142857143,0.9397930385700847,0.9518818484992854,0.9554996321255094,0.9132494663245108,1.550429724148566,9.501640558242798,0.4228694438934326,gini,2000
PC,IN,rfc,std,4,998,43,1242,65,0.9540034071550255,0.9586935638808838,0.9388523047977423,0.9486692015209125,0.9526946348891436,0.907173553068557,1.657885249584605,0.5923891067504883,0.020943403244018555,entropy,100
PC,IN,rfc,std,4,999,37,1248,64,0.956984667802385,0.9642857142857143,0.9397930385700847,0.9518818484992854,0.9554996321255094,0.9132494663245108,1.550429724148566,2.887266159057617,0.10269737243652344,entropy,500
PC,IN,rfc,std,4,997,41,1244,66,0.9544293015332198,0.9605009633911368,0.9379115710253998,0.9490718705378391,0.9530024781197038,0.9080597899228406,1.6425344602365997,5.747694253921509,0.20541882514953613,entropy,1000
PC,IN,rfc,std,4,996,41,1244,67,0.9540034071550255,0.9604628736740598,0.9369708372530574,0.9485714285714286,0.9525321112335327,0.9072079961864289,1.657885249584605,8.64193344116211,0.3081481456756592,entropy,1500
PC,IN,rfc,std,4,998,38,1247,65,0.9561328790459966,0.9633204633204633,0.9388523047977423,0.950929013816103,0.9546401601809724,0.9115262765800831,1.5811313028445773,11.525210618972778,0.40993332862854004,entropy,2000
PC,IN,rfc,std,4,996,40,1245,67,0.9544293015332198,0.9613899613899614,0.9369708372530574,0.949023344449738,0.9529212162918983,0.9080798970912276,1.6425344602365994,0.5844066143035889,0.021941423416137695,log_loss,100
PC,IN,rfc,std,4,995,39,1246,68,0.9544293015332198,0.9622823984526112,0.9360301034807149,0.9489747257987602,0.9528399544640928,0.9081027227575442,1.6425344602365994,2.8653509616851807,0.1027524471282959,log_loss,500
PC,IN,rfc,std,4,996,40,1245,67,0.9544293015332198,0.9613899613899614,0.9369708372530574,0.949023344449738,0.9529212162918983,0.9080798970912276,1.6425344602365997,5.767608165740967,0.20644712448120117,log_loss,1000
PC,IN,rfc,std,4,995,40,1245,68,0.9540034071550255,0.961352657004831,0.9360301034807149,0.9485224022878932,0.9524508494057271,0.907229287214346,1.657885249584605,8.644929647445679,0.30920886993408203,log_loss,1500
PC,IN,rfc,std,4,996,40,1245,67,0.9544293015332198,0.9613899613899614,0.9369708372530574,0.949023344449738,0.9529212162918983,0.9080798970912276,1.6425344602365994,11.499307870864868,0.40993285179138184,log_loss,2000
PC,IN,rfc,minmax,1,999,38,1247,64,0.9565587734241908,0.9633558341369335,0.9397930385700847,0.9514285714285714,0.9551105270671435,0.9123770425450825,1.5657805134965717,0.48473429679870605,0.02196955680847168,gini,100
PC,IN,rfc,minmax,1,1000,34,1251,63,0.9586882453151618,0.9671179883945842,0.940733772342427,0.9537434430138293,0.9571373141867778,0.9167204342168985,1.4890265667565434,2.4125328063964844,0.10668563842773438,gini,500
PC,IN,rfc,minmax,1,1000,35,1250,63,0.9582623509369677,0.966183574879227,0.940733772342427,0.9532888465204957,0.9567482091284121,0.9158461139994781,1.504377356104549,4.805179595947266,0.21143484115600586,gini,1000
PC,IN,rfc,minmax,1,1000,34,1251,63,0.9586882453151618,0.9671179883945842,0.940733772342427,0.9537434430138293,0.9571373141867778,0.9167204342168985,1.4890265667565434,7.197794198989868,0.3201720714569092,gini,1500
PC,IN,rfc,minmax,1,1000,36,1249,63,0.9578364565587735,0.9652509652509652,0.940733772342427,0.9528346831824679,0.9563591040700462,0.9149726560689385,1.5197281454525546,9.60040807723999,0.42586278915405273,gini,2000
