dtype,enzyme,model,scaler,split,tp,fp,tn,fn,val_accuracy,val_precision,val_recall,val_f1,auc,mcc,val_loss,train_time,prediction_time
PC,PR,cnn,std,3,1903,30,120,16,0.9777670372160464,0.9844800827728919,0.9916623241271496,0.9880581516095535,0.8958311620635748,0.8283954649621866,0.801357204397965,201.9639446735382,0.7921631336212158
PC,PR,cnn,std,4,1910,35,115,9,0.9787336877718704,0.9820051413881749,0.9953100573215217,0.9886128364389234,0.8809883619940941,0.8324423693863556,0.7665155868154447,201.7757465839386,0.8050060272216797
PC,PR,cnn,minmax,1,1902,28,122,17,0.9782503624939585,0.9854922279792746,0.9911412193850964,0.9883086515978177,0.9022372763592149,0.833315333614856,0.7839363956067047,203.09184002876282,1.096456527709961
PC,PR,cnn,minmax,2,1909,27,123,10,0.9821169647172547,0.9860537190082644,0.9947889525794684,0.990402075226978,0.9073944762897342,0.8614890304793319,0.644569925276624,203.11401844024658,0.8194735050201416
PC,PR,cnn,minmax,3,1906,32,118,13,0.9782503624939585,0.9834881320949432,0.993225638353309,0.9883329012185637,0.8899461525099879,0.830434183686304,0.7839363956067048,204.9814693927765,0.7921876907348633
PC,PR,cnn,minmax,4,1907,32,118,12,0.9787336877718704,0.9834966477565755,0.9937467430953622,0.9885951270088128,0.8902067048810144,0.8339639149652243,0.7665155868154446,201.8197479248047,0.7952568531036377
PC,RT,cnn,std,1,2305,179,758,96,0.9176153385260635,0.927938808373591,0.9600166597251145,0.9437052200614124,0.8844907204708818,0.7919121437141056,2.96944418274632,295.94167828559875,0.9358434677124023
PC,RT,cnn,std,2,2299,133,804,102,0.9295985620131816,0.9453125,0.9575177009579342,0.9513759569625492,0.9077876658471635,0.824107891245114,2.5375250288923104,297.306941986084,0.904456615447998
PC,RT,cnn,std,3,2307,168,769,94,0.9215098861593769,0.9321212121212121,0.9608496459808413,0.9462674323215751,0.8907770108239319,0.8021062089801853,2.8290704577437666,297.9366009235382,0.8890492916107178
PC,RT,cnn,std,4,2295,144,793,106,0.9251048532055123,0.940959409594096,0.9558517284464806,0.9483471074380165,0.9010848823662498,0.8125431212278507,2.699494711587564,295.2187252044678,0.9191591739654541
PC,RT,cnn,minmax,1,2330,166,771,71,0.9289994008388256,0.9334935897435898,0.9704289879216993,0.9516030222585257,0.8966339176534857,0.8207433724984009,2.5591209865850106,296.9696161746979,0.8694741725921631
PC,RT,cnn,minmax,2,2320,148,789,81,0.9313960455362492,0.940032414910859,0.9662640566430654,0.9529677551858697,0.9041565747462925,0.8273958063812235,2.472737155814209,294.5187175273895,0.8949117660522461
PC,RT,cnn,minmax,3,2277,108,829,124,0.9304973037747154,0.9547169811320755,0.9483548521449396,0.951525282072712,0.916546689679727,0.8288365924867155,2.5051310923532593,298.8528563976288,0.9646408557891846
PC,RT,cnn,minmax,4,2277,127,810,124,0.9248052726183343,0.947171381031614,0.9483548521449396,0.9477627471383975,0.9064079490180408,0.8136120932597247,2.7102926904339144,298.76322174072266,0.908848762512207
ECFP4,IN,cnn,std,1,999,65,1220,64,0.9450596252129472,0.9389097744360902,0.9397930385700847,0.9393511988716502,0.944604690491268,0.8891374564204069,1.9802518258927226,245.13645792007446,1.1133389472961426
ECFP4,IN,cnn,std,2,1004,73,1212,59,0.9437819420783645,0.9322191272051996,0.9444967074317968,0.9383177570093458,0.943843684455198,0.8867426745662684,2.026304193936739,237.9801971912384,0.8472888469696045
ECFP4,IN,cnn,std,3,996,79,1206,67,0.9378194207836457,0.9265116279069767,0.9369708372530574,0.9317118802619271,0.9377461190156338,0.8746857720544682,2.2412152448088176,250.34999299049377,0.8749759197235107
ECFP4,IN,cnn,std,4,992,69,1216,71,0.9403747870528109,0.9349670122525919,0.9332079021636877,0.9340866290018832,0.9397557020546063,0.8796556687656402,2.1491105087207845,245.13947319984436,0.8170115947723389
ECFP4,IN,cnn,minmax,1,1008,67,1218,55,0.9480408858603067,0.9376744186046512,0.9482596425211665,0.9429373246024322,0.9480597823500774,0.8952940977129202,1.8727963004566839,237.9556393623352,1.3899152278900146
ECFP4,IN,cnn,minmax,2,1004,56,1229,59,0.9510221465076661,0.9471698113207547,0.9444967074317968,0.945831370701837,0.9504584704474159,0.9011396218795231,1.7653407750206445,243.78874802589417,0.8574666976928711
ECFP4,IN,cnn,minmax,3,988,54,1231,75,0.9450596252129472,0.9481765834932822,0.929444967074318,0.9387173396674584,0.9437108103854082,0.8890839158453661,1.9802518258927226,246.9322476387024,0.8568832874298096
ECFP4,IN,cnn,minmax,4,973,53,1232,90,0.9390971039182283,0.9483430799220273,0.9153339604891816,0.9315461943513643,0.9370444121512055,0.8771711830050423,2.195162876764801,247.85969710350037,0.8643538951873779
ECFP4,PR,cnn,std,1,1911,35,115,8,0.9792170130497825,0.9820143884892086,0.9958311620635748,0.9888745148771022,0.8812489143651207,0.8361761084189834,0.7490947780241847,220.62156009674072,0.9143266677856445
ECFP4,PR,cnn,std,2,1910,28,122,9,0.9821169647172547,0.9855521155830753,0.9953100573215217,0.9904070521130413,0.9043216953274276,0.861048518736942,0.6445699252766242,221.04225182533264,0.8001337051391602
ECFP4,PR,cnn,std,3,1902,36,114,17,0.9743837602706622,0.9814241486068112,0.9911412193850964,0.986258750324086,0.8755706096925482,0.7998198486356658,0.9233028659367856,218.3110866546631,0.8396573066711426
ECFP4,PR,cnn,std,4,1905,36,114,14,0.9758337361043983,0.98145285935085,0.9927045336112559,0.9870466321243523,0.8763522668056279,0.810195629706421,0.8710404395630054,226.96111416816711,0.788783073425293
ECFP4,PR,cnn,minmax,1,1908,27,123,11,0.9816336394393427,0.986046511627907,0.9942678478374153,0.9901401141670991,0.9071339239187077,0.8579411913758525,0.6619907340678841,224.31390404701233,0.78851318359375
ECFP4,PR,cnn,minmax,2,1910,31,119,9,0.9806669888835186,0.9840288511076765,0.9953100573215217,0.9896373056994818,0.8943216953274276,0.8488794739150782,0.6968323516504044,218.55253529548645,0.8587992191314697
ECFP4,PR,cnn,minmax,3,1912,36,114,7,0.9792170130497825,0.9815195071868583,0.9963522668056279,0.9888802689423326,0.878176133402814,0.8358340672126499,0.7490947780241847,220.07316613197327,0.865668535232544
ECFP4,PR,cnn,minmax,4,1906,34,116,13,0.9772837119381343,0.9824742268041237,0.993225638353309,0.9878206789323659,0.8832794858433213,0.8221157485889299,0.8187780131892252,217.74030828475952,0.8270273208618164
ECFP4,RT,cnn,std,1,2296,151,786,105,0.9233073696824445,0.938291785860237,0.956268221574344,0.9471947194719472,0.8975578034232446,0.8076818373122064,2.7642825846656653,330.4219491481781,0.9668929576873779
ECFP4,RT,cnn,std,2,2329,159,778,72,0.9307968843618933,0.9360932475884244,0.9700124947938359,0.952751073839231,0.9001609965964911,0.8254598918933514,2.494333113506909,329.17286920547485,0.9242532253265381
ECFP4,RT,cnn,std,3,2323,143,794,78,0.9337926902336728,0.9420113544201135,0.9675135360266556,0.9545921512225191,0.9074494040858998,0.833517609542281,2.3863533250434066,329.9060163497925,0.9411501884460449
ECFP4,RT,cnn,std,4,2319,137,800,82,0.9343918514080287,0.9442182410423453,0.965847563515202,0.9549104385423101,0.9098181254075476,0.8352924573622127,2.3647573673507063,333.5483195781708,0.9816570281982422
ECFP4,RT,cnn,minmax,1,2307,125,812,94,0.9343918514080287,0.9486019736842105,0.9608496459808413,0.9546865301055245,0.9137225817951166,0.8361019054741212,2.364757367350706,330.92495679855347,0.9330050945281982
