dtype,enzyme,model,scaler,split,tp,fp,tn,fn,val_accuracy,val_precision,val_recall,val_f1,auc,mcc,val_loss,train_time,prediction_time,C,degree,kernel
PC,IN,svc,std,1,577,484,801,486,0.5868824531516184,0.5438265786993403,0.5428033866415805,0.5433145009416196,0.583074845071763,0.16617694337509528,14.890265667565432,0.06681609153747559,0.09771013259887695,2.0,3,sigmoid
PC,IN,svc,std,1,95,6,1279,968,0.5851788756388415,0.9405940594059405,0.08936970837253057,0.16323024054982818,0.5423502238360708,0.20779815093870874,14.951668824957455,0.09571695327758789,0.12765717506408691,2.0,4,poly
PC,IN,svc,std,1,818,136,1149,245,0.8377342419080068,0.8574423480083857,0.7695202257761053,0.8111056023797719,0.8318418249503094,0.6726261392368882,5.848650741590134,0.08676958084106445,0.2702791690826416,2.0,4,rbf
PC,IN,svc,std,1,577,484,801,486,0.5868824531516184,0.5438265786993403,0.5428033866415805,0.5433145009416196,0.583074845071763,0.16617694337509528,14.890265667565432,0.07007598876953125,0.09870791435241699,2.0,4,sigmoid
PC,IN,svc,std,1,93,7,1278,970,0.583901192504259,0.93,0.08748824082784572,0.15993121238177127,0.5410203850053625,0.20223195046876224,14.997721193001471,0.10173177719116211,0.12666082382202148,2.0,5,poly
PC,IN,svc,std,1,818,136,1149,245,0.8377342419080068,0.8574423480083857,0.7695202257761053,0.8111056023797719,0.8318418249503094,0.6726261392368882,5.848650741590134,0.08480954170227051,0.2702500820159912,2.0,5,rbf
PC,IN,svc,std,1,577,484,801,486,0.5868824531516184,0.5438265786993403,0.5428033866415805,0.5433145009416196,0.583074845071763,0.16617694337509528,14.890265667565432,0.06782031059265137,0.09873580932617188,2.0,5,sigmoid
PC,IN,svc,std,1,879,242,1043,184,0.8185689948892675,0.784121320249777,0.8269049858889934,0.804945054945055,0.8192890688199831,0.636366273188561,6.539436262250386,0.09375357627868652,0.1216745376586914,8.0,3,poly
PC,IN,svc,std,1,889,135,1150,174,0.8683986371379898,0.8681640625,0.8363123236124177,0.8519405845711547,0.8656269789268315,0.7339939072041678,4.743393908533732,0.08081936836242676,0.2403571605682373,8.0,3,rbf
PC,IN,svc,std,1,576,499,786,487,0.580068143100511,0.5358139534883721,0.541862652869238,0.538821328344247,0.5767679023101053,0.153394374008644,15.135878297133525,0.0658564567565918,0.08875441551208496,8.0,3,sigmoid
PC,IN,svc,std,1,104,9,1276,959,0.5877342419080068,0.9203539823008849,0.09783631232361242,0.17687074829931973,0.5454162106365144,0.21124240423557328,14.85956408886942,0.09277963638305664,0.12366628646850586,8.0,4,poly
PC,IN,svc,std,1,889,135,1150,174,0.8683986371379898,0.8681640625,0.8363123236124177,0.8519405845711547,0.8656269789268315,0.7339939072041678,4.743393908533732,0.08178067207336426,0.24335002899169922,8.0,4,rbf
PC,IN,svc,std,1,576,499,786,487,0.580068143100511,0.5358139534883721,0.541862652869238,0.538821328344247,0.5767679023101053,0.153394374008644,15.135878297133525,0.06681585311889648,0.0887906551361084,8.0,4,sigmoid
PC,IN,svc,std,1,101,8,1277,962,0.5868824531516184,0.926605504587156,0.09501411100658513,0.17235494880546076,0.5443942150363665,0.2100556063811452,14.89026566756543,0.10074424743652344,0.12566328048706055,8.0,5,poly
PC,IN,svc,std,1,889,135,1150,174,0.8683986371379898,0.8681640625,0.8363123236124177,0.8519405845711547,0.8656269789268315,0.7339939072041678,4.743393908533732,0.08181595802307129,0.2373640537261963,8.0,5,rbf
PC,IN,svc,std,1,576,499,786,487,0.580068143100511,0.5358139534883721,0.541862652869238,0.538821328344247,0.5767679023101053,0.153394374008644,15.135878297133525,0.061864614486694336,0.08978724479675293,8.0,5,sigmoid
PC,IN,svc,std,2,80,5,1280,983,0.5792163543441227,0.9411764705882353,0.07525870178739416,0.13937282229965156,0.5356838256018683,0.19018132117931266,15.166579875829534,0.0987706184387207,0.12563610076904297,0.2,3,poly
PC,IN,svc,std,2,663,112,1173,400,0.7819420783645656,0.8554838709677419,0.6237064910630291,0.721436343852013,0.7682734789945497,0.5679508063382964,7.859604146178868,0.09674406051635742,0.34410905838012695,0.2,3,rbf
PC,IN,svc,std,2,518,308,977,545,0.6367120954003407,0.6271186440677966,0.4873000940733772,0.5484383271572261,0.6238056890600349,0.258102043780567,13.094223313848778,0.09174919128417969,0.13267302513122559,0.2,3,sigmoid
